Repository Fork?,Repository Forks Count,Repository Issues enabled?,Repository Wiki enabled?,Repository Pages enabled?,Repository Open Issues Count,Repository Readme filename,Repository Changelog filename,Repository Contributing guidelines filename,Repository License filename,Repository Code of Conduct filename,Repository Stars Count
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.001719602,1,1,0,0.067919402,1,0,1,1,1,581
0,0.002149502,0,0,1,0.000679194,1,1,0,1,0,728
0,0.068165013,1,0,1,0.086484039,1,0,1,1,0,6102
0,0.012742249,1,1,0,0.008603124,1,1,1,1,0,4365
0,0.011968428,1,0,0,0.0113199,1,0,0,1,0,3949
0,0.002355854,1,1,0,0.006112746,1,1,0,1,1,3476
0,0.005261981,1,1,0,0.00339597,1,0,0,1,0,1354
0,0.010661531,1,0,0,0.020602219,1,0,1,1,0,617
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.002716971,1,1,0,0.007471134,1,1,0,1,0,949
0,0.002355854,1,1,0,0.006112746,1,1,0,1,1,3476
0,0.00574347,1,1,0,0.019243831,1,1,1,1,1,3404
0,0.010971059,1,1,1,0.080371293,1,1,1,1,1,7492
0,0.0004299,1,1,0,0.001584786,1,0,0,1,1,754
0,0.00768662,1,1,0,0.009282318,1,0,1,1,0,6394
0,0.022079686,1,1,0,0.025809373,1,0,1,1,1,8750
0,0.081663887,0,0,0,0.00679194,1,0,1,1,0,10374
0,0.002768559,1,1,1,0.014942269,1,1,0,1,0,760
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.005846646,1,0,0,0.00565995,1,0,0,1,0,924
0,0.002751363,1,1,0,0.001811184,1,1,0,0,0,733
0,0.001461661,1,0,0,0.004075164,1,0,0,0,0,1249
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.124894674,1,1,1,0.039166855,1,1,1,1,1,25196
0,0.151101405,1,0,0,0.065202626,1,1,1,1,1,44892
0,0.040479425,1,1,0,0.079692099,1,0,1,1,0,13479
0,0.001478857,1,1,0,0.000226398,1,0,0,1,0,2682
0,0.018898423,1,1,1,0.028299751,1,1,1,1,0,12385
0,0.005227589,1,1,0,0.017659045,1,1,1,1,0,2452
0,0.000292332,1,1,0,0.00113199,1,0,0,1,0,1069
0,0.005124413,1,0,0,0.015847861,1,0,1,1,1,3776
0,0.00362836,1,1,0,0.014036676,1,0,0,1,0,5370
0,0.000412704,1,1,0,0.00452796,1,0,0,0,0,794
0,0.008133716,1,1,0,0.001584786,1,0,0,1,0,3469
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.003834712,1,1,0,0.018791035,1,1,1,1,0,672
0,0.001822778,1,1,0,0.013810278,1,0,0,0,0,628
0,0.002871735,1,1,1,0.030337333,1,1,0,1,0,1209
0,0.028098292,1,0,0,0.020149423,1,0,1,0,0,5933
0,0.006138978,1,1,0,0.076975323,1,0,1,1,1,6431
0,0.00185717,1,1,1,0.00565995,1,0,0,0,0,702
0,0.005330765,1,0,0,0,1,1,0,0,0,4596
0,0.003989476,1,1,0,0.001811184,1,0,1,1,0,1135
0,0.001753994,1,1,0,0.014715871,1,0,0,0,0,627
0,0.004281808,1,1,0,0.013357482,1,0,0,1,0,952
0,0.002974911,1,0,0,0.001358388,1,0,1,1,1,2276
0,0.016525373,1,0,1,0.062712248,1,1,1,1,0,7284
0,0.001788386,1,1,0,0.018338239,1,0,0,1,0,619
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.009027909,1,1,1,0.142177949,1,1,1,1,0,4755
0,0.003783124,1,1,0,0.021507811,1,0,0,1,0,4549
0,0.001289701,1,1,1,0.007244736,1,0,0,1,0,1456
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.006826819,1,1,0,0.014942269,1,1,1,1,1,4237
0,0.016594157,1,1,1,0.086257641,1,1,1,1,0,5337
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.003903496,1,1,1,0.017659045,1,1,1,1,1,1577
0,0.002820147,1,1,1,0.003848766,1,1,0,1,0,2318
0,0.002716971,1,1,0,0.027620557,1,0,0,1,0,659
0,0.009165477,1,1,1,0.044826806,1,1,1,1,0,4470
0,0.217426444,1,0,0,0.022187005,1,0,1,1,1,86429
0,0.010334806,1,1,0,0.029658139,1,0,1,1,0,3729
0,0.006740839,1,0,1,0.011546298,1,0,0,1,1,4806
0,0.000550273,1,1,0,0.000905592,1,1,0,1,0,683
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.030540127,1,1,1,0.054788318,1,1,1,1,1,7715
0,0.002321462,1,1,0,0.019243831,1,0,1,1,0,765
0,0.042233419,0,0,1,0.280280734,1,0,1,1,0,2060
0,0.002441834,1,1,1,0.018564637,1,1,1,1,1,2469
0,0.007721012,1,0,0,0.014715871,1,0,0,1,0,2179
0,0.000705037,1,1,1,0.00113199,1,0,0,1,0,941
0,0.05967018,1,0,0,0.031695721,1,1,1,1,0,15418
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.009853318,1,1,1,0.003848766,1,0,1,1,0,3198
0,0.005691882,1,1,1,0.031695721,1,0,0,1,0,2674
0,0.002648187,1,1,0,0.001811184,1,0,0,1,0,1297
0,0.000876997,1,1,0,0.006565542,1,0,0,1,0,1968
0,0.000842605,1,1,0,0.002490378,1,0,1,1,0,734
0,0.001341289,1,1,1,0.001811184,1,0,0,1,0,856
0,0.008993517,1,1,0,0.039166855,1,0,1,1,0,6916
0,0.001289701,1,1,1,0.000452796,1,0,1,1,1,1623
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.009664162,1,0,0,0.019017433,1,0,0,1,1,7427
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.007256719,1,0,0,0.024677383,1,0,1,1,0,2130
0,0.000980173,1,1,0,0.000452796,1,0,0,1,0,1744
0,0.002390246,1,0,0,0.009735114,1,0,0,0,0,1571
0,0.003181263,1,1,1,0.019923025,1,0,0,1,0,942
0,0.010541159,1,1,0,0.064976228,1,1,1,1,0,8217
0,0.010971059,1,1,1,0.080371293,1,1,1,1,1,7492
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.014375871,1,1,1,0.008829522,1,1,0,1,0,5525
0,0.043970216,0,0,0,0.003169572,1,0,0,1,0,4073
0,0.001031761,1,1,1,0.003848766,1,1,0,1,0,783
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.003851908,0,0,1,0.00226398,1,0,1,1,0,625
0,0.001289701,1,1,1,0.000452796,1,0,1,1,1,1623
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.000739429,1,1,0,0.008376726,1,0,0,1,0,878
0,0.007394287,1,1,0,0.008603124,1,0,1,1,1,1872
0,0.011435352,1,0,1,0.030563731,1,0,1,1,0,3999
0,0.001358485,1,1,1,0.00905592,1,1,0,1,0,2391
0,0.01183086,1,1,1,0.024224587,1,0,1,1,1,9394
0,0.004092652,1,1,1,0.019696627,1,0,0,0,0,1872
0,0.00837446,1,1,0,0.007018338,1,0,1,1,0,2816
0,0.010472375,1,1,0,0.002490378,1,0,0,1,0,1484
0,0.002183894,1,0,0,0.00226398,1,1,0,1,0,2367
0,0.001289701,1,0,1,0.007244736,1,1,1,1,1,1128
0,0.006947191,1,1,1,0.008150328,1,0,0,1,0,2728
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.056471721,1,1,0,0.204890197,1,1,1,1,0,13438
0,0.019362716,0,0,0,0.006112746,1,0,1,1,0,680
0,0.004866473,1,1,1,0.008603124,1,1,0,1,1,2218
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.003232851,1,1,1,0.014942269,1,1,0,1,0,764
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.005502726,1,1,0,0.008150328,1,0,0,1,1,4714
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.014066342,1,0,1,0.053656328,1,0,0,1,0,2387
0,0.005605902,1,0,1,0.024903781,1,0,0,1,0,1568
0,0.001289701,1,1,0,0.000226398,1,1,0,0,0,987
0,0.023283408,1,1,0,0.087616029,1,1,0,1,0,1618
0,0.002613795,1,1,0,0,1,0,0,1,0,1142
0,0.016112668,1,1,1,0.009961512,1,0,0,1,0,1424
0,0.004986845,1,1,0,0.031469323,1,0,0,1,0,1205
0,0.002820147,1,0,0,0.000905592,1,0,0,1,0,1982
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.036937045,1,0,0,0.01358388,1,0,1,1,1,9659
0,0.003662752,1,1,0,0.009282318,1,1,0,1,0,1199
0,0.023283408,1,1,0,0.087616029,1,1,0,1,0,1618
0,0.000687841,1,1,1,0.005433552,1,1,0,1,1,1410
0,0.002441834,1,1,1,0.018564637,1,1,1,1,1,2469
0,0.035853696,1,1,0,0.078107313,1,1,0,1,0,13288
0,0.034856327,1,1,1,0.041204437,1,1,1,1,0,9361
0,0.000997369,1,0,0,0.006339144,1,0,0,1,0,613
0,0.005176001,1,0,1,0.015168667,1,1,0,1,0,1589
0,0.000739429,1,1,0,0.002037582,1,1,0,1,0,698
0,0.011383764,1,1,0,0.020149423,1,0,0,0,0,13031
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.001530446,1,1,0,0.00113199,1,1,0,1,0,695
0,0.003525184,1,1,0,0.004301562,1,0,0,1,0,1787
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.007875776,1,1,0,0.030110935,1,1,0,1,0,6829
0,0.006379722,1,1,1,0.026262169,1,1,0,1,0,4283
0,0.002630991,1,1,0,0.014263074,1,1,1,1,0,1353
0,0.045105154,1,1,0,0.044826806,1,1,1,1,1,37616
0,0.001289701,1,1,1,0.007244736,1,0,0,1,0,1456
0,0.005399549,1,1,1,0.016074259,1,0,0,1,0,4074
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.000412704,1,1,0,0.00113199,1,1,0,1,0,1031
0,0.007669424,1,1,0,0.010867104,1,0,0,1,0,1676
0,0.040840541,1,1,1,0.196966267,1,1,1,1,0,10735
0,0.00168521,1,0,0,0.010867104,1,0,0,1,0,1090
0,0.004350592,0,1,0,0.012904686,1,0,0,1,0,588
0,0.003456399,1,1,0,0.007697532,1,1,0,0,0,1458
0,0.000739429,1,1,0,0.008376726,1,0,0,1,0,878
0,0.000945781,1,1,0,0.000905592,1,0,0,1,0,1215
0,0.0004299,1,1,1,0.005207154,1,1,0,1,0,730
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.002613795,1,1,1,0.003848766,1,1,0,0,0,1395
0,0.001564838,1,0,1,0.019470229,1,1,1,1,0,652
0,0.003422007,1,1,1,0.01245189,1,0,0,0,0,2974
0,0.031537496,1,1,1,0.001584786,1,0,0,1,0,1144
0,0.001358485,1,1,0,0.00113199,1,1,0,1,0,756
0,0.003422007,1,1,1,0.01245189,1,0,0,0,0,2974
0,0.054545767,1,1,0,0.000226398,1,1,1,1,0,30263
0,0.000619057,1,1,1,0.002037582,1,1,0,1,0,980
0,0.076384709,1,1,1,0.0681458,1,1,1,1,0,24063
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.004247416,1,1,0,0.011093502,1,0,0,1,0,1688
0,0.007927364,1,1,1,0.005433552,1,0,0,1,0,2881
0,0.005244785,1,1,0,0.054788318,1,0,0,1,0,1994
0,0.151101405,1,0,0,0.065202626,1,1,1,1,1,44892
0,0.009578182,1,1,0,0.009508716,1,0,0,0,0,7870
0,0.023283408,1,1,0,0.087616029,1,1,0,1,0,1618
0,0.033790174,1,0,0,0.070862576,1,0,0,1,1,8695
0,0.003748732,1,0,0,0.020375821,1,1,1,1,0,688
0,0.002166698,1,1,0,0.00452796,1,0,0,1,0,760
0,0.006947191,1,1,0,0.000226398,1,0,0,1,0,1098
0,0.012105996,1,1,1,0.020149423,1,1,0,1,0,3952
0,0.024143208,1,0,1,0.042562825,1,1,1,1,1,21175
0,0.003181263,1,1,0,0.006565542,1,0,0,1,0,1179
0,0.023283408,1,1,0,0.087616029,1,1,0,1,0,1618
0,0.059687376,1,1,0,0.100520715,1,1,1,1,0,17136
0,0.014238302,1,0,0,0.005886348,1,0,0,1,0,2428
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.001324093,1,1,0,0.007697532,1,0,0,1,0,1095
0,0.001839974,1,1,0,0.008829522,1,0,0,1,0,997
0,0.040840541,1,1,1,0.196966267,1,1,1,1,0,10735
0,0.033927742,1,0,0,0.020602219,1,1,0,1,0,5518
0,0.001289701,1,1,1,0.000452796,1,0,1,1,1,1623
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.051519268,1,1,0,0.363368802,1,1,1,1,0,15715
0,0.017952642,1,1,0,0.074032149,1,1,0,1,1,11816
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.00202913,1,0,0,0.008829522,1,1,0,1,0,752
0,0.002751363,1,1,0,0.004075164,1,1,1,1,0,574
0,0.000945781,1,1,0,0.000679194,1,0,0,1,0,569
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.001289701,1,1,1,0.000452796,1,0,1,1,1,1623
0,0.005691882,1,0,0,0.031695721,1,1,1,1,0,2455
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90386
0,0.001839974,1,1,0,0.017885443,1,0,0,0,0,586
0,0.010197238,1,1,1,0.027620557,1,1,0,1,0,4070
0,0.00185717,1,1,0,0.000452796,1,1,0,1,0,1430
0,0.004023868,1,1,0,0.010414308,1,0,1,1,0,4403
0,0.010420787,1,1,1,0.032148517,1,1,0,1,0,12341
0,0.017866662,1,1,0,0.012225492,1,0,1,1,1,10234
0,0.019207951,0,0,0,0.005433552,1,1,1,1,0,8349
0,0.043729472,1,1,0,0.131537242,1,1,1,1,1,26369
0,0.002665383,1,1,0,0.00679194,1,1,1,1,0,979
0,0.076384709,1,1,1,0.0681458,1,1,1,1,0,24064
0,0.004109848,1,0,0,0.003169572,1,0,0,1,0,2517
0,0.005691882,1,1,1,0.031695721,1,0,0,1,0,2674
0,0.018038622,1,1,0,0.006112746,1,0,0,1,0,4056
0,0.004763297,1,1,0,0.005207154,1,1,0,1,0,1398
0,0.006293742,1,0,0,0.009735114,1,0,1,1,0,7693
0,0.001427269,1,1,0,0.005433552,1,0,0,1,0,894
0,0.006310938,1,1,0,0.043694815,1,0,1,1,0,1566
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.002527815,1,1,1,0.003169572,1,1,1,1,0,2691
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.01968944,1,1,0,0.083767263,1,0,0,1,0,4448
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.001100545,1,1,1,0.00226398,1,0,0,1,0,594
0,0.000533077,1,1,0,0.000226398,1,1,0,0,0,1135
0,0.002390246,1,1,0,0,1,0,1,1,0,763
0,0.01766031,1,1,1,0.010867104,1,1,1,1,0,9465
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.015751552,1,1,0,0.041883631,1,0,0,1,0,3829
0,0.003404811,1,1,0,0.007697532,1,1,1,1,0,1319
0,0.00245903,1,0,1,0.01358388,1,1,1,1,0,597
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.007239523,1,1,1,0.05342993,1,1,0,1,0,4733
0,0.000894193,1,0,0,0.001358388,1,1,1,1,0,633
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.039361684,1,1,1,0.062712248,1,1,1,0,0,15077
0,0.003284439,1,1,0,0.016527055,1,0,0,0,1,2937
0,0.007119151,1,1,0,0.059995472,1,1,1,1,0,2868
0,0.006293742,1,1,0,0.023771791,1,1,1,1,0,1805
0,0.032397297,1,1,0,0.076975323,1,1,1,1,0,11903
0,0.002441834,1,1,1,0.018564637,1,1,1,1,1,2469
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.003078087,1,0,0,0.009961512,1,0,0,0,1,1102
0,0.009767338,1,1,0,0.013131084,1,0,0,1,0,2209
0,0.003318831,1,0,0,0.001811184,1,0,0,0,0,861
0,0.001100545,1,0,1,0.002490378,1,0,0,1,0,1061
0,0.017694702,1,0,0,0.055014716,1,1,1,1,1,3198
0,0.003456399,1,0,1,0.00905592,1,1,0,1,0,1667
0,0.001530446,1,1,1,0.004980756,1,0,0,1,0,662
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.013223737,1,1,1,0.014489472,1,0,0,0,0,5523
0,0.151101405,1,0,0,0.065202626,1,1,1,1,1,44892
0,0.180455007,1,0,0,0.291147838,1,1,1,1,1,33535
0,0.091551597,1,1,1,0.05229794,1,1,1,1,1,19424
0,0.143311609,1,0,0,0.498528413,1,1,1,1,1,33929
1,0.003473596,1,1,1,0.016527055,1,0,0,1,0,885
0,0.002837343,1,1,0,0.011546298,1,0,1,1,0,1255
0,0.028992485,1,0,0,0.239076296,1,0,1,1,1,30636
0,0.006310938,1,1,1,0.047317184,1,0,0,0,0,1487
0,0.00220109,1,1,0,0.012678288,1,1,0,1,0,967
0,0.222120957,1,1,1,0.027167761,1,0,0,1,0,67559
0,0.005674686,1,0,0,0.001358388,1,0,1,1,0,1600
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.043729472,1,1,0,0.131537242,1,1,1,1,1,26369
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.010455179,1,1,1,0.04663799,1,0,1,1,0,4304
0,0.003903496,1,1,0,0.00679194,1,0,0,1,0,726
0,0.000859801,0,0,0,0.000679194,0,0,0,0,0,1269
0,0.001788386,1,1,0,0.005433552,1,0,0,1,0,1181
0,0.151101405,1,0,0,0.065202626,1,1,1,1,1,44892
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.054511375,1,1,0,0.000226398,1,1,1,1,0,30261
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.032448885,1,0,0,0.06135386,1,1,1,1,1,10803
0,0.043746668,1,1,0,0.131990038,1,1,1,1,1,26388
0,0.010248826,1,1,1,0.011999094,1,1,0,1,0,1739
0,0.036146029,1,1,1,0.057278696,1,1,1,1,1,16209
0,0.017247605,1,1,1,0.047996378,1,1,1,1,0,7489
0,0.003215655,1,0,0,0.023092597,1,1,0,1,0,3105
0,0.00151325,1,1,1,0,1,0,0,0,0,949
0,0.002648187,1,1,0,0.001811184,1,0,0,1,0,1297
0,0.001753994,1,1,0,0.000226398,1,1,0,1,0,942
0,0.000997369,1,0,0,0.006565542,1,0,0,0,0,709
0,0.002063522,1,1,0,0.026262169,1,0,1,1,0,949
0,0.007101955,1,1,0,0.041883631,1,0,0,0,0,885
0,0.157962616,1,0,1,0.00679194,1,1,1,1,1,38905
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.011074235,1,1,1,0.033054109,1,1,0,0,0,3277
0,0.036730693,1,1,1,0.115462984,1,0,0,1,0,6410
0,0.005279177,1,1,0,0.00226398,1,0,1,1,0,3749
0,0.001272505,1,0,0,0.001811184,1,1,0,1,0,2251
0,0.002545011,1,0,0,0.025809373,1,1,0,1,0,1913
0,0.038708235,1,1,0,0.148064297,1,1,1,1,0,18812
0,0.033016353,1,0,1,0.072447362,1,1,1,1,0,12699
0,0.240142383,1,1,1,0.117953362,1,0,1,1,1,61018
0,0.000412704,1,1,0,0.003622368,1,0,0,1,0,755
0,0.006740839,1,0,1,0.011546298,1,0,0,1,1,4806
0,0.005038433,1,1,0,0.009961512,1,1,0,0,0,2664
0,0.00574347,1,1,0,0.019243831,1,1,1,1,1,3404
0,0.022320431,1,1,1,0.113425402,1,1,1,1,1,12314
0,0.003422007,1,1,1,0.01245189,1,0,0,0,0,2974
0,0.008787165,1,1,1,0.008603124,1,0,0,1,0,6379
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.270802882,1,0,0,0.240661082,1,0,1,1,1,38926
0,0.001289701,1,1,1,0.000452796,1,0,1,1,1,1623
0,0.013000189,1,0,0,0.014715871,1,0,1,1,0,965
0,0.01343009,1,1,0,0.037808467,1,0,1,0,0,3896
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
1,0.003473596,1,1,1,0.016527055,1,0,0,1,0,885
0,0.006895603,1,1,1,0.000679194,1,1,1,1,0,4914
0,0.009475006,1,1,1,0.064070636,1,0,1,1,0,8490
0,0.005330765,1,0,0,0,1,1,0,0,0,4596
0,0.011074235,1,1,1,0.028978945,1,0,1,1,0,6662
0,0.015493612,1,1,0,0.011093502,1,0,1,1,0,8300
0,0.006310938,1,0,0,0.051618746,1,0,1,1,0,6729
0,0.006912799,1,1,0,0.024677383,1,1,1,1,1,621
0,0.147197909,1,0,0,0.096219153,1,0,0,1,0,35638
0,0.008787165,1,1,1,0.076522527,1,1,1,1,1,781
1,0.00423022,1,1,0,0.018111841,1,0,0,1,0,787
0,0.009165477,1,1,1,0.044826806,1,1,1,1,0,4470
0,0.095111172,1,1,0,0.017432647,1,1,1,1,0,15576
0,0.209223944,1,1,0,0.473171836,1,0,0,1,0,14616
0,0.019087579,1,0,1,0.005433552,1,0,1,0,0,7139
0,0.000687841,1,1,1,0.001358388,1,0,0,0,0,606
0,0.001358485,1,1,1,0.003622368,1,0,1,1,0,736
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.209292728,1,1,0,0.473398234,1,0,0,1,0,14616
0,0.000670645,1,0,0,0.000905592,1,0,0,1,0,596
